Spider-Man: Across the Spider-Verse,2023,"Animation, Action, Adventure",PG,140 ,8.6
Poor Things,2023,"Comedy, Drama, Romance",R,141 ,8.4
Oppenheimer,2023,"Biography, Drama, History",R,180 ,8.4
Sam Bahadur,2023,"Biography, Drama, War",N/A,150 ,8.1
The Holdovers,2023,"Comedy, Drama",R,133 ,8
Radical,2023,Drama,PG-13,125 ,8
Society of the Snow,2023,"Adventure, Drama, History",R,144 ,7.9
Society of the Snow,2023,"Adventure, Drama, History",R,144 ,7.9
Past Lives,2023,"Drama, Romance",PG-13,105 ,7.9
Guardians of the Galaxy Vol. 3,2023,"Action, Adventure, Comedy",PG-13,150 ,7.9
Sirf Ek Bandaa Kaafi Hai,2023,"Crime, Drama, Thriller",N/A,132 ,7.9
Killers of the Flower Moon,2023,"Crime, Drama, History",R,206 ,7.7
Mission: Impossible - Dead Reckoning Part One,2023,"Action, Adventure, Thriller",PG-13,163 ,7.7
Sound of Freedom,2023,"Biography, Crime, Drama",PG-13,131 ,7.7
John Wick: Chapter 4,2023,"Action, Crime, Thriller",R,169 ,7.7
Siya,2022,"Crime, Drama",N/A,117 ,7.7
The Covenant,2023,"Action, Drama, Thriller",R,123 ,7.5
Nimona,2023,"Animation, Action, Adventure",PG,101 ,7.5
BlackBerry,2023,"Biography, Comedy, Drama",R,120 ,7.4
Air,2023,"Drama, Sport",R,111 ,7.4
"Are You There God? It's Me, Margaret.",2023,"Comedy, Drama, Family",PG-13,106 ,7.4
Tetris,2023,"Biography, Drama, History",R,118 ,7.4
Fireworks,2023,"Drama, Romance",N/A,134 ,7.4
Chor Nikal Ke Bhaga,2023,"Crime, Drama, Thriller",TV-MA,110 ,7.4
Dungeons & Dragons: Honor Among Thieves,2023,"Action, Adventure, Comedy",PG-13,134 ,7.3
A Million Miles Away,2023,"Biography, Drama",PG,121 ,7.3
Mrs. Chatterjee vs. Norway,2023,"Biography, Drama",TV-MA,144 ,7.3
Gran Turismo,2023,"Action, Adventure, Drama",PG-13,134 ,7.2
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,"Animation, Action, Adventure",PG,99 ,7.2
The Little Mermaid,2023,"Adventure, Family, Fantasy",PG,135 ,7.2
Pamela: A Love Story,2023,"Documentary, Biography",TV-MA,112 ,7.2
Saltburn,2023,"Comedy, Drama, Thriller",R,131 ,7.1
Talk to Me,2022,"Horror, Thriller",R,95 ,7.1
The Burial,2023,Drama,R,126 ,7.1
A Good Person,2023,Drama,R,128 ,7.1
Missing,2023,"Drama, Mystery, Thriller",PG-13,111 ,7.1
Jesus Revolution,2023,Drama,PG-13,120 ,7.1
Mixed by Erry,2023,"Comedy, History",TV-MA,110 ,7.1
Dream Scenario,2023,"Comedy, Horror",R,102 ,7
The Super Mario Bros. Movie,2023,"Animation, Adventure, Comedy",PG,92 ,7
When Evil Lurks,2023,Horror,Not Rated,99 ,7
Elemental,2023,"Animation, Adventure, Comedy",PG,101 ,7
"Red, White & Royal Blue",2023,"Comedy, Romance",R,118 ,7
Extraction II,2023,"Action, Thriller",R,122 ,7
A Thousand and One,2023,"Crime, Drama",R,117 ,7
Flora and Son,2023,"Comedy, Music, Romance",R,97 ,7
Kidnapped,2023,"Drama, History",N/A,134 ,7
Post Truth,2023,"Comedy, Drama",N/A,112 ,7
Barbie,2023,"Adventure, Comedy, Fantasy",PG-13,114 ,6.9
Dumb Money,2023,"Biography, Comedy, Drama",R,105 ,6.9
Dumb Money,2023,"Biography, Comedy, Drama",R,105 ,6.9
The Hunger Games: The Ballad of Songbirds & Snakes,2023,"Action, Adventure, Drama",PG-13,157 ,6.9
The Equalizer 3,2023,"Action, Crime, Thriller",R,109 ,6.9
Sisu,2022,"Action, War",R,91 ,6.9
The Last Kingdom: Seven Kings Must Die,2023,"Action, Drama, History",TV-MA,111 ,6.9
Hardcore Never Dies,2023,Crime,N/A,108 ,6.9
The Childe,2023,"Action, Drama, Thriller",N/A,118 ,6.9
Rebound,2023,"Drama, Sport",N/A,122 ,6.9
The Creator,2023,"Action, Adventure, Drama",PG-13,133 ,6.8
Bottoms,2023,Comedy,R,91 ,6.8
Reptile,2023,"Crime, Drama, Mystery",R,134 ,6.8
Jules,2023,"Comedy, Drama, Sci-Fi",PG-13,87 ,6.8
Champions,2023,"Comedy, Drama, Sport",PG-13,124 ,6.8
Love at First Sight,2023,"Drama, Romance",PG-13,91 ,6.8
True Spirit,2023,"Adventure, Biography, Drama",TV-PG,109 ,6.8
The Wandering Earth II,2023,"Action, Adventure, Drama",Not Rated,173 ,6.8
The Hill,2023,"Biography, Drama, Sport",PG,126 ,6.7
Ferrari,2023,"Biography, Drama, History",R,130 ,6.7
Beau Is Afraid,2023,"Comedy, Drama, Horror",R,179 ,6.7
The Flash,2023,"Action, Adventure, Fantasy",PG-13,144 ,6.7
The Three Musketeers - Part I: D'Artagnan,2023,"Action, Adventure, History",N/A,121 ,6.7
The Three Musketeers - Part II: Milady,2023,"Action, Adventure, History",N/A,115 ,6.7
Sharper,2023,"Crime, Drama, Thriller",R,116 ,6.7
Creed III,2023,"Drama, Sport",PG-13,116 ,6.7
The Starling Girl,2023,Drama,R,117 ,6.7
Animal,2023,"Action, Crime, Drama",N/A,204 ,6.6
Indiana Jones and the Dial of Destiny,2023,"Action, Adventure, Sci-Fi",PG-13,154 ,6.6
Saw X,2023,"Horror, Mystery, Thriller",R,118 ,6.6
To Catch a Killer,2023,"Action, Crime, Drama",R,119 ,6.6
They Cloned Tyrone,2023,"Comedy, Mystery, Sci-Fi",R,122 ,6.6
The Roundup: No Way Out,2023,"Action, Crime, Thriller",N/A,105 ,6.6
AKA,2023,"Action, Crime, Thriller",TV-MA,122 ,6.6
Kill Boksoon,2023,"Action, Thriller",TV-MA,137 ,6.6
Napoleon,2023,"Action, Adventure, Biography",R,158 ,6.5
How to Have Sex,2023,Drama,N/A,91 ,6.5
A Haunting in Venice,2023,"Crime, Drama, Horror",PG-13,103 ,6.5
Asteroid City,2023,"Comedy, Drama, Romance",PG-13,105 ,6.5
Pain Hustlers,2023,"Crime, Drama",R,123 ,6.5
Evil Dead Rise,2023,Horror,R,96 ,6.5
Scream VI,2023,"Horror, Mystery, Thriller",R,122 ,6.5
Plane,2023,"Action, Adventure, Thriller",R,107 ,6.5
Boston Strangler,2023,"Crime, Drama, History",R,112 ,6.5
Firebrand,2023,"Drama, History",N/A,120 ,6.5
Blood & Gold,2023,"Action, Drama, War",TV-MA,98 ,6.5
Chevalier,2022,"Biography, Drama, History",PG-13,108 ,6.5
Full River Red,2023,"Comedy, Drama, History",N/A,159 ,6.5
Ransomed,2023,"Action, Drama, Thriller",N/A,132 ,6.5
No Hard Feelings,2023,"Comedy, Romance",R,103 ,6.4
Renfield,2023,"Comedy, Fantasy, Horror",R,93 ,6.4
M3GAN,2022,"Horror, Sci-Fi, Thriller",PG-13,102 ,6.4
96,2018,"Drama, Romance",Not Rated,158 ,8.5
Avengers: Infinity War,2018,"Action, Adventure, Sci-Fi",PG-13,149 ,8.4
Capernaum,2018,Drama,R,126 ,8.4
Mahanati,2018,"Biography, Drama",Not Rated,177 ,8.4
Green Book,2018,"Biography, Comedy, Drama",PG-13,130 ,8.2
Andhadhun,2018,"Crime, Mystery, Thriller",Not Rated,139 ,8.2
They Shall Not Grow Old,2018,"Documentary, History, War",R,99 ,8.2
Free Solo,2018,"Documentary, Adventure, Sport",PG-13,100 ,8.1
